
1550820849.343:  AA AA 04 80 02 00 19 64
1550820849.343:  AA AA 04 80 02 00 6B 12
1550820849.343:  AA AA 04 80 02 00 A6 D7
1550820849.343:  AA AA 04 80 02 00 B5 C8
1550820849.343:  AA AA 04 80 02 00 B9 C4
1550820849.343:  AA AA 04 80 02 00 D8 A5
1550820849.343:  AA AA 04 80 02 00 E8 95
1550820849.343:  AA AA 04 80 02 00 F6 87
1550820849.343:  AA AA 04 80 02 00 E6 97
1550820849.343:  AA AA 04 80 02 00 E2 9B
1550820849.343:  AA AA 04 80 02 01 08 74
1550820849.343:  AA AA 04 80 02 01 01 7B
1550820849.343:  AA AA 04 80 02 00 A7 D6
1550820849.343:  AA AA 04 80 02 00 67 16
1550820849.343:  AA AA 04 80 02 00 61 1C
1550820849.343:  AA AA 04 80 02 00 4C 31
1550820849.343:  AA AA 04 80 02 00 28 55
1550820849.343:  AA AA 04 80 02 00 00 7D
1550820849.343:  AA AA 04 80 02 FF F5 89
1550820849.359:  AA AA 04 80 02 00 1A 63
1550820849.359:  AA AA 04 80 02 00 34 49
1550820849.359:  AA AA 04 80 02 00 01 7C
1550820849.359:  AA AA 04 80 02 FF C2 BC
1550820849.359:  AA AA 04 80 02 FF 8A F4
1550820849.359:  AA AA 04 80 02 FF 5C 22
1550820849.359:  AA AA 04 80 02 FF 6C 12
1550820849.359:  AA AA 04 80 02 FF 9E E0
1550820849.359:  AA AA 04 80 02 FF BC C2
1550820849.359:  AA AA 04 80 02 FF B4 CA
1550820849.359:  AA AA 04 80 02 FF 86 F8
1550820849.359:  AA AA 04 80 02 FF 6D 11
1550820849.359:  AA AA 04 80 02 FF A2 DC
1550820849.359:  AA AA 04 80 02 00 17 66
1550820849.359:  AA AA 04 80 02 00 66 17
1550820849.359:  AA AA 04 80 02 00 6C 11
1550820849.359:  AA AA 04 80 02 00 8A F3
1550820849.359:  AA AA 04 80 02 00 CA B3
1550820849.359:  AA AA 04 80 02 00 E4 99
